dataset,balancing_method,scaler_type,model_label,TP,FP,FN,TN,F1_Score,Precision,Recall,Especificidad,Error,ROC_AUC,PR_AUC
jruby-1.1,smote,robust,Naive Bayes Gaussiano,1,0,16,130,0.1111111111111111,1.0,0.058823529411764705,1.0,0.10884353741496598,0.8755656108597285,0.6092910687920592
jruby-1.1,smote,robust,Árbol de Decisión,10,8,7,122,0.5714285714285714,0.5555555555555556,0.5882352941176471,0.9384615384615385,0.10204081632653061,0.7633484162895928,0.5957049486461252
wicket-1.3.0-beta2,unbalanced,standard,SVM,3,43,23,284,0.08333333333333333,0.06521739130434782,0.11538461538461539,0.8685015290519877,0.18696883852691218,0.49976476123265107,0.12245745806179151
wicket-1.3.0-beta2,unbalanced,standard,Naive Bayes Gaussiano,10,25,16,302,0.32786885245901637,0.2857142857142857,0.38461538461538464,0.9235474006116208,0.11614730878186968,0.7696424370736297,0.2887024937666024
wicket-1.3.0-beta2,unbalanced,standard,Árbol de Decisión,5,20,21,307,0.19607843137254902,0.2,0.19230769230769232,0.9388379204892966,0.11614730878186968,0.5974476593742648,0.24378216708300182
wicket-1.3.0-beta2,unbalanced,robust,SVM,24,306,2,21,0.1348314606741573,0.07272727272727272,0.9230769230769231,0.06422018348623854,0.8725212464589235,0.5035285815102329,0.08954185609491666
wicket-1.3.0-beta2,unbalanced,robust,Naive Bayes Gaussiano,10,25,16,302,0.32786885245901637,0.2857142857142857,0.38461538461538464,0.9235474006116208,0.11614730878186968,0.7694071983062809,0.28858516157299574
wicket-1.3.0-beta2,unbalanced,robust,Árbol de Decisión,6,20,20,307,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.9388379204892966,0.11331444759206799,0.5848035756292637,0.2590978426672478
wicket-1.3.0-beta2,csbboost,standard,SVM,26,302,0,25,0.14689265536723164,0.07926829268292683,1.0,0.0764525993883792,0.8555240793201133,0.7277111267936957,0.14503948966231367
wicket-1.3.0-beta2,csbboost,standard,Naive Bayes Gaussiano,10,28,16,299,0.3125,0.2631578947368421,0.38461538461538464,0.9143730886850153,0.12464589235127478,0.7749353093389791,0.330527977554532
wicket-1.3.0-beta2,csbboost,standard,Árbol de Decisión,8,33,18,294,0.23880597014925373,0.1951219512195122,0.3076923076923077,0.8990825688073395,0.14447592067988668,0.6033874382498235,0.27690288016412523
wicket-1.3.0-beta2,csbboost,robust,SVM,25,294,1,33,0.14492753623188406,0.07836990595611286,0.9615384615384616,0.10091743119266056,0.8356940509915014,0.7198306280875088,0.12833658617678415
wicket-1.3.0-beta2,csbboost,robust,Naive Bayes Gaussiano,10,28,16,299,0.3125,0.2631578947368421,0.38461538461538464,0.9143730886850153,0.12464589235127478,0.7752881674900024,0.3305611391056221
wicket-1.3.0-beta2,csbboost,robust,Árbol de Decisión,8,33,18,294,0.23880597014925373,0.1951219512195122,0.3076923076923077,0.8990825688073395,0.14447592067988668,0.6033874382498235,0.27690288016412523
wicket-1.3.0-beta2,hcbou,standard,SVM,19,105,7,222,0.25333333333333335,0.1532258064516129,0.7307692307692307,0.6788990825688074,0.31728045325779036,0.7747588802634674,0.2612872846409893
wicket-1.3.0-beta2,hcbou,standard,Naive Bayes Gaussiano,10,23,16,304,0.3389830508474576,0.30303030303030304,0.38461538461538464,0.9296636085626911,0.11048158640226628,0.7886379675370502,0.30499055812405024
wicket-1.3.0-beta2,hcbou,standard,Árbol de Decisión,15,87,11,240,0.234375,0.14705882352941177,0.5769230769230769,0.7339449541284404,0.2776203966005666,0.7904610679840038,0.3223542870601694
wicket-1.3.0-beta2,hcbou,robust,SVM,21,130,5,197,0.23728813559322035,0.1390728476821192,0.8076923076923077,0.6024464831804281,0.38243626062322944,0.7638202775817454,0.23880108390822982
wicket-1.3.0-beta2,hcbou,robust,Naive Bayes Gaussiano,8,20,18,307,0.2962962962962963,0.2857142857142857,0.3076923076923077,0.9388379204892966,0.10764872521246459,0.7321806633733238,0.24018517208886012
wicket-1.3.0-beta2,hcbou,robust,Árbol de Decisión,15,87,11,240,0.234375,0.14705882352941177,0.5769230769230769,0.7339449541284404,0.2776203966005666,0.7904610679840038,0.3223542870601694
wicket-1.3.0-beta2,smote,standard,SVM,26,296,0,31,0.14942528735632185,0.08074534161490683,1.0,0.09480122324159021,0.8385269121813032,0.7552340625735121,0.16548064041483293
wicket-1.3.0-beta2,smote,standard,Naive Bayes Gaussiano,11,27,15,300,0.34375,0.2894736842105263,0.4230769230769231,0.9174311926605505,0.11898016997167139,0.772994589508351,0.30298609744959754
wicket-1.3.0-beta2,smote,standard,Árbol de Decisión,10,47,16,280,0.24096385542168675,0.17543859649122806,0.38461538461538464,0.8562691131498471,0.17847025495750707,0.6146788990825688,0.18613090298642704
wicket-1.3.0-beta2,smote,robust,SVM,25,292,1,35,0.1457725947521866,0.07886435331230283,0.9615384615384616,0.10703363914373089,0.830028328611898,0.7288873206304399,0.13525381172362155
wicket-1.3.0-beta2,smote,robust,Naive Bayes Gaussiano,10,28,16,299,0.3125,0.2631578947368421,0.38461538461538464,0.9143730886850153,0.12464589235127478,0.775229357798165,0.3012290447534304
wicket-1.3.0-beta2,smote,robust,Árbol de Decisión,10,47,16,280,0.24096385542168675,0.17543859649122806,0.38461538461538464,0.8562691131498471,0.17847025495750707,0.6146788990825688,0.18613090298642704
