dataset,balancing_method,scaler_type,model_label,TP,FP,FN,TN,F1_Score,Precision,Recall,Especificidad,Error,ROC_AUC,PR_AUC
activemq-5.0.0,hcbou,standard,SVM,42,48,17,270,0.5637583892617449,0.4666666666666667,0.711864406779661,0.8490566037735849,0.1724137931034483,0.8843939878477775,0.540232322746343
activemq-5.0.0,hcbou,standard,Naive Bayes Gaussiano,33,31,26,287,0.5365853658536586,0.515625,0.559322033898305,0.9025157232704403,0.15119363395225463,0.8145720072486943,0.5822338660909656
activemq-5.0.0,hcbou,standard,Árbol de Decisión,40,39,19,279,0.5797101449275363,0.5063291139240507,0.6779661016949152,0.8773584905660378,0.15384615384615385,0.7776622961304764,0.6173465468015255
activemq-5.0.0,hcbou,robust,SVM,56,318,3,0,0.2586605080831409,0.1497326203208556,0.9491525423728814,0.0,0.8514588859416445,0.691184308709093,0.35146627111858386
activemq-5.0.0,hcbou,robust,Naive Bayes Gaussiano,57,318,2,0,0.2626728110599078,0.152,0.9661016949152542,0.0,0.8488063660477454,0.7884553885513271,0.49022213201573606
activemq-5.0.0,hcbou,robust,Árbol de Decisión,40,40,19,278,0.5755395683453237,0.5,0.6779661016949152,0.8742138364779874,0.15649867374005305,0.7760899690864514,0.6141819898395
activemq-5.0.0,smote,standard,SVM,59,273,0,45,0.30179028132992325,0.17771084337349397,1.0,0.14150943396226415,0.7241379310344828,0.8374906726361796,0.4130047876762763
activemq-5.0.0,smote,standard,Naive Bayes Gaussiano,35,35,24,283,0.5426356589147286,0.5,0.5932203389830508,0.889937106918239,0.15649867374005305,0.8330668372241765,0.5540667141985175
activemq-5.0.0,smote,standard,Árbol de Decisión,45,44,14,274,0.6081081081081081,0.5056179775280899,0.7627118644067796,0.8616352201257862,0.15384615384615385,0.881835625199872,0.6439230912684477
activemq-5.0.0,smote,robust,SVM,59,267,0,51,0.3064935064935065,0.18098159509202455,1.0,0.16037735849056603,0.7082228116710876,0.8270706747681483,0.39416124329337887
activemq-5.0.0,smote,robust,Naive Bayes Gaussiano,53,185,6,133,0.3569023569023569,0.22268907563025211,0.8983050847457628,0.41823899371069184,0.506631299734748,0.8078030060761113,0.5379355041117347
activemq-5.0.0,smote,robust,Árbol de Decisión,45,44,14,274,0.6081081081081081,0.5056179775280899,0.7627118644067796,0.8616352201257862,0.15384615384615385,0.881835625199872,0.6439230912684477
derby-10.5.1.1,unbalanced,standard,SVM,34,100,43,364,0.3222748815165877,0.2537313432835821,0.44155844155844154,0.7844827586206896,0.2643253234750462,0.6229847738468429,0.33656565990096665
derby-10.5.1.1,unbalanced,standard,Naive Bayes Gaussiano,29,35,48,429,0.41134751773049644,0.453125,0.37662337662337664,0.9245689655172413,0.1534195933456562,0.7750923645320197,0.4813699172774845
derby-10.5.1.1,unbalanced,standard,Árbol de Decisión,31,44,46,420,0.40789473684210525,0.41333333333333333,0.4025974025974026,0.9051724137931034,0.16635859519408502,0.6629114420062696,0.4519996566296327
derby-10.5.1.1,unbalanced,robust,SVM,3,4,74,460,0.07142857142857142,0.42857142857142855,0.03896103896103896,0.9913793103448276,0.14417744916820702,0.42333743842364524,0.14319028249426732
derby-10.5.1.1,unbalanced,robust,Naive Bayes Gaussiano,3,7,74,457,0.06896551724137931,0.3,0.03896103896103896,0.9849137931034483,0.14972273567467653,0.7672973578145993,0.3138941411773921
derby-10.5.1.1,unbalanced,robust,Árbol de Decisión,31,44,46,420,0.40789473684210525,0.41333333333333333,0.4025974025974026,0.9051724137931034,0.16635859519408502,0.6629114420062696,0.4519996566296327
