dataset,balancing_method,scaler_type,model_name,Recall,F2_Score,Precision,Exactitud,F1_Score,Sensibilidad,Especificidad,Error,TP_Rate,FP_Rate,MCC,BER,ROC_AUC,TP,TN,FP,FN
wicket-1.3.0-beta2,csbboost,robust,naive_bayes_gaussian,0.38461538461538464,0.352112676056338,0.2631578947368421,0.8753541076487252,0.3125,0.38461538461538464,0.9143730886850153,0.12464589235127478,0.38461538461538464,0.0856269113149847,0.25198107286097593,0.3505057633498,0.7749353093389791,10,299,28,16
wicket-1.3.0-beta2,csbboost,robust,decision_tree,0.34615384615384615,0.30612244897959184,0.20930232558139536,0.8555240793201133,0.2608695652173913,0.34615384615384615,0.8960244648318043,0.14447592067988668,0.34615384615384615,0.10397553516819572,0.19341080013370804,0.3789108445071747,0.6367325335215244,9,293,34,17
wicket-1.3.0-beta2,hcbou,standard,svm,0.19230769230769232,0.20833333333333334,0.3125,0.9093484419263456,0.23809523809523808,0.19230769230769232,0.9663608562691132,0.0906515580736544,0.19230769230769232,0.03363914373088685,0.1992399653779429,0.4206657257115972,0.7634674194307223,5,316,11,21
wicket-1.3.0-beta2,hcbou,standard,naive_bayes_gaussian,0.38461538461538464,0.36496350364963503,0.30303030303030304,0.8895184135977338,0.3389830508474576,0.38461538461538464,0.9296636085626911,0.11048158640226628,0.38461538461538464,0.07033639143730887,0.2819966469302553,0.3428605034109621,0.7886379675370502,10,304,23,16
wicket-1.3.0-beta2,hcbou,standard,decision_tree,0.34615384615384615,0.2903225806451613,0.17647058823529413,0.8328611898016998,0.23376623376623376,0.34615384615384615,0.8715596330275229,0.1671388101983003,0.34615384615384615,0.12844036697247707,0.16175484912185512,0.39114326040931546,0.6088567395906846,9,285,42,17
wicket-1.3.0-beta2,hcbou,robust,svm,0.3076923076923077,0.30303030303030304,0.2857142857142857,0.8923512747875354,0.2962962962962963,0.3076923076923077,0.9388379204892966,0.10764872521246459,0.3076923076923077,0.06116207951070336,0.2382923124722393,0.3767348859091979,0.738767348859092,8,307,20,18
wicket-1.3.0-beta2,hcbou,robust,naive_bayes_gaussian,0.38461538461538464,0.36496350364963503,0.30303030303030304,0.8895184135977338,0.3389830508474576,0.38461538461538464,0.9296636085626911,0.11048158640226628,0.38461538461538464,0.07033639143730887,0.2819966469302553,0.3428605034109621,0.7886379675370502,10,304,23,16
wicket-1.3.0-beta2,hcbou,robust,decision_tree,0.34615384615384615,0.2903225806451613,0.17647058823529413,0.8328611898016998,0.23376623376623376,0.34615384615384615,0.8715596330275229,0.1671388101983003,0.34615384615384615,0.12844036697247707,0.16175484912185512,0.39114326040931546,0.6088567395906846,9,285,42,17
wicket-1.3.0-beta2,smote,standard,svm,0.2692307692307692,0.28,0.3333333333333333,0.9065155807365439,0.2978723404255319,0.2692307692307692,0.9571865443425076,0.09348441926345609,0.2692307692307692,0.04281345565749235,0.25002963927244704,0.3867913432133616,0.7706422018348624,7,313,14,19
wicket-1.3.0-beta2,smote,standard,naive_bayes_gaussian,0.4230769230769231,0.3873239436619718,0.2894736842105263,0.8810198300283286,0.34375,0.4230769230769231,0.9174311926605505,0.11898016997167139,0.4230769230769231,0.08256880733944955,0.28697293703089116,0.3297459421312632,0.772994589508351,11,300,27,15
wicket-1.3.0-beta2,smote,standard,decision_tree,0.38461538461538464,0.30864197530864196,0.1724137931034483,0.8186968838526912,0.23809523809523808,0.38461538461538464,0.8532110091743119,0.1813031161473088,0.38461538461538464,0.14678899082568808,0.16764692662609454,0.38108680310515175,0.6153846153846154,10,279,48,16
wicket-1.3.0-beta2,smote,robust,svm,0.4230769230769231,0.34591194968553457,0.2,0.8328611898016998,0.2716049382716049,0.4230769230769231,0.8654434250764526,0.1671388101983003,0.4230769230769231,0.1345565749235474,0.2078009463747219,0.3557398259233122,0.765349329569513,11,283,44,15
wicket-1.3.0-beta2,smote,robust,naive_bayes_gaussian,0.4230769230769231,0.3873239436619718,0.2894736842105263,0.8810198300283286,0.34375,0.4230769230769231,0.9174311926605505,0.11898016997167139,0.4230769230769231,0.08256880733944955,0.28697293703089116,0.3297459421312632,0.772994589508351,11,300,27,15
wicket-1.3.0-beta2,smote,robust,decision_tree,0.38461538461538464,0.30864197530864196,0.1724137931034483,0.8186968838526912,0.23809523809523808,0.38461538461538464,0.8532110091743119,0.1813031161473088,0.38461538461538464,0.14678899082568808,0.16764692662609454,0.38108680310515175,0.6153846153846154,10,279,48,16
