dataset,balancing_method,scaler_type,model_name,Recall,F2_Score,Precision,Exactitud,F1_Score,Sensibilidad,Especificidad,Error,TP_Rate,FP_Rate,MCC,BER,ROC_AUC,TP,TN,FP,FN
hive-0.9.0,unbalanced,standard,svm,0.47368421052631576,0.4963235294117647,0.6136363636363636,0.8345070422535211,0.5346534653465347,0.47368421052631576,0.9251101321585903,0.16549295774647887,0.47368421052631576,0.07488986784140969,0.4414356322821102,0.30060282865754695,0.7656696808099543,27,210,17,30
hive-0.9.0,unbalanced,standard,naive_bayes_gaussian,0.2631578947368421,0.3024193548387097,0.75,0.8345070422535211,0.38961038961038963,0.2631578947368421,0.9779735682819384,0.16549295774647887,0.2631578947368421,0.022026431718061675,0.3774742025648993,0.3794342684906098,0.7937243991034856,15,222,5,42
hive-0.9.0,unbalanced,standard,decision_tree,0.631578947368421,0.6228373702422145,0.5901639344262295,0.8380281690140845,0.6101694915254238,0.631578947368421,0.8898678414096917,0.1619718309859155,0.631578947368421,0.11013215859030837,0.5085609441459327,0.23927660561094366,0.7924105417729346,36,202,25,21
hive-0.9.0,unbalanced,robust,svm,0.5087719298245614,0.5390334572490706,0.7073170731707317,0.8591549295774648,0.5918367346938775,0.5087719298245614,0.947136563876652,0.14084507042253522,0.5087719298245614,0.05286343612334802,0.5195567297779317,0.2720457531493933,0.8562485508926502,29,215,12,28
hive-0.9.0,unbalanced,robust,naive_bayes_gaussian,0.10526315789473684,0.12605042016806722,0.6,0.8063380281690141,0.1791044776119403,0.10526315789473684,0.9823788546255506,0.1936619718309859,0.10526315789473684,0.01762114537444934,0.190452824012811,0.45617899373985626,0.7587912512558931,6,223,4,51
hive-0.9.0,unbalanced,robust,decision_tree,0.631578947368421,0.6228373702422145,0.5901639344262295,0.8380281690140845,0.6101694915254238,0.631578947368421,0.8898678414096917,0.1619718309859155,0.631578947368421,0.11013215859030837,0.5085609441459327,0.23927660561094366,0.7924105417729346,36,202,25,21
hive-0.9.0,csbboost,standard,svm,0.5263157894736842,0.5136986301369864,0.46875,0.7852112676056338,0.49586776859504134,0.5263157894736842,0.8502202643171806,0.2147887323943662,0.5263157894736842,0.14977973568281938,0.36095710583007695,0.3117319731045676,0.7697658242522606,30,193,34,27
hive-0.9.0,csbboost,standard,naive_bayes_gaussian,0.2631578947368421,0.3,0.6818181818181818,0.8274647887323944,0.379746835443038,0.2631578947368421,0.9691629955947136,0.17253521126760563,0.2631578947368421,0.030837004405286344,0.34807804716005364,0.38383955483422216,0.7922559703222813,15,220,7,42
hive-0.9.0,csbboost,standard,decision_tree,0.8421052631578947,0.7643312101910829,0.5581395348837209,0.8345070422535211,0.6713286713286714,0.8421052631578947,0.8325991189427313,0.16549295774647887,0.8421052631578947,0.16740088105726872,0.5881418272874985,0.162647808949687,0.8261457608779658,48,189,38,9
hive-0.9.0,csbboost,robust,svm,0.7543859649122807,0.6515151515151515,0.4215686274509804,0.7429577464788732,0.5408805031446541,0.7543859649122807,0.7400881057268722,0.25704225352112675,0.7543859649122807,0.2599118942731278,0.412817499989044,0.2527629646804235,0.8056264008037715,43,168,59,14
hive-0.9.0,csbboost,robust,naive_bayes_gaussian,0.15789473684210525,0.18672199170124482,0.6923076923076923,0.8169014084507042,0.2571428571428571,0.15789473684210525,0.9823788546255506,0.18309859154929578,0.15789473684210525,0.01762114537444934,0.2688251837623549,0.4298632042661721,0.7627328232475462,9,223,4,48
hive-0.9.0,csbboost,robust,decision_tree,0.8421052631578947,0.7643312101910829,0.5581395348837209,0.8345070422535211,0.6713286713286714,0.8421052631578947,0.8325991189427313,0.16549295774647887,0.8421052631578947,0.16740088105726872,0.5881418272874985,0.162647808949687,0.8261457608779658,48,189,38,9
hive-0.9.0,hcbou,standard,svm,0.5087719298245614,0.5123674911660777,0.5272727272727272,0.8098591549295775,0.5178571428571429,0.5087719298245614,0.8854625550660793,0.19014084507042253,0.5087719298245614,0.1145374449339207,0.39958196768937604,0.30288275755467964,0.7567045366720767,29,201,26,28
hive-0.9.0,hcbou,standard,naive_bayes_gaussian,0.24561403508771928,0.2845528455284553,0.7777777777777778,0.8345070422535211,0.37333333333333335,0.24561403508771928,0.9823788546255506,0.16549295774647887,0.24561403508771928,0.01762114537444934,0.3747956905574443,0.38600355514336504,0.7853002550428935,14,223,4,43
hive-0.9.0,hcbou,standard,decision_tree,0.7192982456140351,0.6386292834890965,0.44086021505376344,0.7605633802816901,0.5466666666666666,0.7192982456140351,0.7709251101321586,0.23943661971830985,0.7192982456140351,0.2290748898678414,0.41839472175303055,0.25488832212690316,0.7451116778730968,41,175,52,16
hive-0.9.0,hcbou,robust,svm,0.7894736842105263,0.7120253164556962,0.5113636363636364,0.8063380281690141,0.6206896551724138,0.7894736842105263,0.8105726872246696,0.1936619718309859,0.7894736842105263,0.1894273127753304,0.5197156545062839,0.1999768142824021,0.8100316871473839,45,184,43,12
hive-0.9.0,hcbou,robust,naive_bayes_gaussian,0.14035087719298245,0.16736401673640167,0.7272727272727273,0.8169014084507042,0.23529411764705882,0.14035087719298245,0.986784140969163,0.18309859154929578,0.14035087719298245,0.013215859030837005,0.2638990821633838,0.4364324909189272,0.7752144678877811,8,224,3,49
hive-0.9.0,hcbou,robust,decision_tree,0.7192982456140351,0.6386292834890965,0.44086021505376344,0.7605633802816901,0.5466666666666666,0.7192982456140351,0.7709251101321586,0.23943661971830985,0.7192982456140351,0.2290748898678414,0.41839472175303055,0.25488832212690316,0.7451116778730968,41,175,52,16
