dataset,balancing_method,scaler_type,model_name,Recall,F2_Score,Precision,Exactitud,F1_Score,Sensibilidad,Especificidad,Error,TP_Rate,FP_Rate,MCC,BER,ROC_AUC,TP,TN,FP,FN
jruby-1.1,unbalanced,standard,svm,0.5882352941176471,0.6097560975609756,0.7142857142857143,0.9251700680272109,0.6451612903225806,0.5882352941176471,0.9692307692307692,0.07482993197278912,0.5882352941176471,0.03076923076923077,0.6073299977156307,0.22126696832579185,0.8244343891402716,10,126,4,7
jruby-1.1,unbalanced,standard,naive_bayes_gaussian,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.9183673469387755,0.6470588235294118,0.6470588235294118,0.9538461538461539,0.08163265306122448,0.6470588235294118,0.046153846153846156,0.6009049773755656,0.19954751131221715,0.8773755656108597,11,124,6,6
jruby-1.1,unbalanced,standard,decision_tree,0.5294117647058824,0.5625,0.75,0.9251700680272109,0.6206896551724138,0.5294117647058824,0.9769230769230769,0.07482993197278912,0.5294117647058824,0.023076923076923078,0.5913933577320876,0.24683257918552037,0.866289592760181,9,127,3,8
jruby-1.1,unbalanced,robust,svm,0.47058823529411764,0.4878048780487805,0.5714285714285714,0.8979591836734694,0.5161290322580645,0.47058823529411764,0.9538461538461539,0.10204081632653061,0.47058823529411764,0.046153846153846156,0.4623989755334915,0.28778280542986423,0.795475113122172,8,124,6,9
jruby-1.1,unbalanced,robust,naive_bayes_gaussian,0.11764705882352941,0.14285714285714285,1.0,0.8979591836734694,0.21052631578947367,0.11764705882352941,1.0,0.10204081632653061,0.11764705882352941,0.0,0.32477172510548374,0.4411764705882353,0.8773755656108597,2,130,0,15
jruby-1.1,unbalanced,robust,decision_tree,0.5294117647058824,0.5625,0.75,0.9251700680272109,0.6206896551724138,0.5294117647058824,0.9769230769230769,0.07482993197278912,0.5294117647058824,0.023076923076923078,0.5913933577320876,0.24683257918552037,0.866289592760181,9,127,3,8
jruby-1.1,csbboost,standard,svm,0.35294117647058826,0.38461538461538464,0.6,0.8979591836734694,0.4444444444444444,0.35294117647058826,0.9692307692307692,0.10204081632653061,0.35294117647058826,0.03076923076923077,0.40918864471419686,0.3389140271493213,0.8085972850678732,6,126,4,11
jruby-1.1,csbboost,standard,naive_bayes_gaussian,0.6470588235294118,0.6395348837209303,0.6111111111111112,0.9115646258503401,0.6285714285714286,0.6470588235294118,0.9461538461538461,0.08843537414965986,0.6470588235294118,0.05384615384615385,0.5787292689447392,0.20339366515837098,0.8796380090497737,11,123,7,6
jruby-1.1,csbboost,standard,decision_tree,0.8823529411764706,0.6880733944954128,0.36585365853658536,0.8095238095238095,0.5172413793103449,0.8823529411764706,0.8,0.19047619047619047,0.8823529411764706,0.2,0.48658682282489807,0.1588235294117647,0.9083710407239819,15,104,26,2
jruby-1.1,csbboost,robust,svm,0.6470588235294118,0.55,0.34375,0.8163265306122449,0.4489795918367347,0.6470588235294118,0.8384615384615385,0.1836734693877551,0.6470588235294118,0.16153846153846155,0.3762527438930316,0.25723981900452486,0.7900452488687784,11,109,21,6
jruby-1.1,csbboost,robust,naive_bayes_gaussian,0.058823529411764705,0.07246376811594203,1.0,0.891156462585034,0.1111111111111111,0.058823529411764705,1.0,0.10884353741496598,0.058823529411764705,0.0,0.2288604710946246,0.47058823529411764,0.8624434389140271,1,130,0,16
jruby-1.1,csbboost,robust,decision_tree,0.8823529411764706,0.6880733944954128,0.36585365853658536,0.8095238095238095,0.5172413793103449,0.8823529411764706,0.8,0.19047619047619047,0.8823529411764706,0.2,0.48658682282489807,0.1588235294117647,0.9083710407239819,15,104,26,2
jruby-1.1,hcbou,standard,svm,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.8775510204081632,0.47058823529411764,0.47058823529411764,0.9307692307692308,0.12244897959183673,0.47058823529411764,0.06923076923076923,0.40135746606334843,0.29932126696832584,0.7782805429864253,8,121,9,9
jruby-1.1,hcbou,standard,naive_bayes_gaussian,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.9183673469387755,0.6470588235294118,0.6470588235294118,0.9538461538461539,0.08163265306122448,0.6470588235294118,0.046153846153846156,0.6009049773755656,0.19954751131221715,0.9013574660633484,11,124,6,6
jruby-1.1,hcbou,standard,decision_tree,0.5882352941176471,0.5208333333333334,0.35714285714285715,0.8299319727891157,0.4444444444444444,0.5882352941176471,0.8615384615384616,0.17006802721088435,0.5882352941176471,0.13846153846153847,0.366300702181171,0.2751131221719456,0.7248868778280544,10,112,18,7
jruby-1.1,hcbou,robust,svm,0.7058823529411765,0.594059405940594,0.36363636363636365,0.8231292517006803,0.48,0.7058823529411765,0.8384615384615385,0.17687074829931973,0.7058823529411765,0.16153846153846155,0.4172151736913274,0.2278280542986425,0.7656108597285068,12,109,21,5
jruby-1.1,hcbou,robust,naive_bayes_gaussian,0.058823529411764705,0.07246376811594203,1.0,0.891156462585034,0.1111111111111111,0.058823529411764705,1.0,0.10884353741496598,0.058823529411764705,0.0,0.2288604710946246,0.47058823529411764,0.8710407239819005,1,130,0,16
jruby-1.1,hcbou,robust,decision_tree,0.5882352941176471,0.5208333333333334,0.35714285714285715,0.8299319727891157,0.4444444444444444,0.5882352941176471,0.8615384615384616,0.17006802721088435,0.5882352941176471,0.13846153846153847,0.366300702181171,0.2751131221719456,0.7248868778280544,10,112,18,7
