dataset,model_name,balancing_method,scaler_type,Recall,F2_Score,Precision,F1_Score,MCC,BER,Exactitud,Error,ROC_AUC
activemq-5.0.0,naive_bayes_gaussian,hcbou,robust,0.9661016949152542,0.46798029556650245,0.15281501340482573,0.2638888888888889,-0.09790520528365267,0.5138044984543226,0.15649867374005305,0.843501326259947,0.7990619336957681
derby-10.5.1.1,svm,smote,robust,0.7402597402597403,0.5428571428571428,0.2626728110599078,0.3877551020408163,0.28188629491880374,0.3022839229735781,0.66728280961183,0.33271719038817005,0.7438703537841469
groovy-1_6_BETA_1,naive_bayes_gaussian,unbalanced,robust,0.9285714285714286,0.29545454545454547,0.07926829268292683,0.14606741573033707,-0.25644989865985146,0.5357142857142857,0.07878787878787878,0.9212121212121213,0.5179754020813624
hbase-0.94.0,naive_bayes_gaussian,unbalanced,robust,1.0,0.5684754521963824,0.20853080568720378,0.34509803921568627,0.03523144612071956,0.49702380952380953,0.21226415094339623,0.7877358490566038,0.72754329004329
hive-0.9.0,decision_tree,csbboost,standard,0.8421052631578947,0.7643312101910829,0.5581395348837209,0.6713286713286714,0.5881418272874985,0.162647808949687,0.8345070422535211,0.16549295774647887,0.8261457608779658
jruby-1.1,decision_tree,csbboost,standard,0.8823529411764706,0.6880733944954128,0.36585365853658536,0.5172413793103449,0.48658682282489807,0.1588235294117647,0.8095238095238095,0.19047619047619047,0.9083710407239819
wicket-1.3.0-beta2,naive_bayes_gaussian,smote,standard,0.4230769230769231,0.3873239436619718,0.2894736842105263,0.34375,0.28697293703089116,0.3297459421312632,0.8810198300283286,0.11898016997167139,0.772994589508351
