route,balancing,dataset,scaler,model,TP,TN,FP,FN,P,N,Total,Error,Exactitud,TP_Rate,FP_Rate,Precision,Recall,Sensibilidad,Especificidad,F1_Score,Accuracy_sklearn,cv_best_score
nofs,hcbou,activemq-5.0.0,robust,naive_bayes_gaussian,57,2,316,2,59,318,377,0.843501326259947,0.15649867374005305,0.9661016949152542,0.9937106918238994,0.15281501340482573,0.9661016949152542,0.9661016949152542,0.006289308176100629,0.2638888888888889,0.15649867374005305,0.9920350877192983
nofs,hcbou,activemq-5.0.0,robust,svm,39,255,63,20,59,318,377,0.22015915119363394,0.7798408488063661,0.6610169491525424,0.19811320754716982,0.38235294117647056,0.6610169491525424,0.6610169491525424,0.8018867924528302,0.484472049689441,0.7798408488063661,0.9760701754385966
fs,hcbou,activemq-5.0.0,standard,decision_tree,39,274,44,20,59,318,377,0.16976127320954906,0.830238726790451,0.6610169491525424,0.13836477987421383,0.46987951807228917,0.6610169491525424,0.6610169491525424,0.8616352201257862,0.5492957746478874,0.830238726790451,0.8857543859649123
fs,hcbou,activemq-5.0.0,standard,naive_bayes_gaussian,42,273,45,17,59,318,377,0.16445623342175067,0.8355437665782494,0.711864406779661,0.14150943396226415,0.4827586206896552,0.711864406779661,0.711864406779661,0.8584905660377359,0.5753424657534246,0.8355437665782494,0.6798245614035088
fs,hcbou,activemq-5.0.0,standard,svm,42,259,59,17,59,318,377,0.20159151193633953,0.7984084880636605,0.711864406779661,0.18553459119496854,0.4158415841584158,0.711864406779661,0.711864406779661,0.8144654088050315,0.525,0.7984084880636605,0.9441403508771931
nofs,hcbou,activemq-5.0.0,standard,decision_tree,42,272,46,17,59,318,377,0.16710875331564987,0.8328912466843501,0.711864406779661,0.14465408805031446,0.4772727272727273,0.711864406779661,0.711864406779661,0.8553459119496856,0.5714285714285714,0.8328912466843501,0.9030701754385966
nofs,hcbou,activemq-5.0.0,standard,naive_bayes_gaussian,33,287,31,26,59,318,377,0.15119363395225463,0.8488063660477454,0.559322033898305,0.09748427672955975,0.515625,0.559322033898305,0.559322033898305,0.9025157232704403,0.5365853658536586,0.8488063660477454,0.5563157894736841
nofs,hcbou,activemq-5.0.0,standard,svm,42,270,48,17,59,318,377,0.1724137931034483,0.8275862068965517,0.711864406779661,0.1509433962264151,0.4666666666666667,0.711864406779661,0.711864406779661,0.8490566037735849,0.5637583892617449,0.8275862068965517,0.9773684210526316
fs,smote,activemq-5.0.0,robust,decision_tree,39,271,47,20,59,318,377,0.17771883289124668,0.8222811671087533,0.6610169491525424,0.14779874213836477,0.45348837209302323,0.6610169491525424,0.6610169491525424,0.8522012578616353,0.5379310344827586,0.8222811671087533,0.9150526315789473
fs,smote,activemq-5.0.0,robust,naive_bayes_gaussian,57,2,316,2,59,318,377,0.843501326259947,0.15649867374005305,0.9661016949152542,0.9937106918238994,0.15281501340482573,0.9661016949152542,0.9661016949152542,0.006289308176100629,0.2638888888888889,0.15649867374005305,0.9520350877192982
